id_team,name,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Olympiacos,22,4425,33.1,64.0,0.517,11.5,29.5,0.389,21.7,34.6,0.627,14.8,19.4,0.765,9.3,25.4,34.6,22.8,8.6,3.4,12.0,17.4,92.5
2,Panathinaikos OPAP,23,4600,30.5,63.9,0.477,9.3,26.8,0.347,21.2,37.1,0.570,13.3,17.2,0.775,9.6,26.0,35.6,18.7,6.1,3.3,10.1,19.6,83.6
3,Kolossos H Hotels,23,4625,26.9,63.3,0.425,9.2,25.7,0.359,17.7,37.6,0.471,12.0,16.6,0.725,7.8,24.8,32.7,17.3,7.7,1.8,12.9,20.9,75.1
4,AEK Athens,23,4600,26.2,60.8,0.431,9.2,28.6,0.321,17.0,32.2,0.529,14.7,20.6,0.713,8.5,24.3,32.8,16.9,6.6,2.5,12.3,19.0,76.3
5,Promitheas Patras,23,4595,28.6,61.3,0.466,8.0,24.2,0.329,20.7,37.1,0.556,12.2,17.7,0.689,8.6,24.6,33.1,18.2,6.1,2.3,12.4,19.8,77.4
6,Aris,23,4650,27.0,62.7,0.430,8.3,25.6,0.327,18.6,37.2,0.501,14.2,19.7,0.720,9.3,23.7,33.0,13.9,7.8,2.4,12.9,22.7,76.5
7,Larisa,22,4425,25.5,59.2,0.432,7.5,22.5,0.335,18.0,36.7,0.491,18.0,24.6,0.731,10.3,23.4,33.6,15.2,6.8,2.5,15.9,22.3,76.6
8,Peristeri Vitabiotics,23,4600,26.9,61.3,0.438,9.7,27.3,0.357,17.1,34.1,0.503,11.2,16.7,0.671,8.4,23.6,32.0,16.2,6.3,2.2,12.3,21.1,74.7
9,PAOK mateco,23,4600,26.5,59.3,0.447,8.1,24.5,0.330,18.4,34.8,0.530,14.2,19.0,0.750,7.6,24.9,32.5,15.6,5.5,2.5,11.6,20.9,75.3
10,Lavrio Megabolt,23,4597,26.8,61.3,0.437,8.6,25.3,0.339,18.3,36.1,0.506,11.4,15.5,0.736,8.0,22.1,30.2,16.1,7.0,2.8,12.6,21.3,73.6
11,Apollon Patras Oscar,22,4299,24.5,58.8,0.417,8.3,27.2,0.304,16.2,31.6,0.513,11.9,16.1,0.737,7.5,23.7,31.2,13.7,5.1,2.1,11.0,18.4,69.1
12,Iraklis,23,4700,26.6,62.5,0.425,8.0,25.7,0.310,18.6,36.8,0.505,14.4,20.2,0.713,9.7,25.5,35.1,14.5,7.9,3.2,14.6,20.2,75.5
13,Ionikos Basket,23,4591,26.5,64.3,0.412,8.9,27.6,0.323,17.6,36.7,0.478,13.3,18.4,0.723,9.3,23.3,32.5,13.7,6.4,2.4,12.1,19.4,75.2
14,LDLC ASVEL,32,6476,31.3,62.5,0.501,7.4,21.8,0.341,23.9,40.8,0.587,16.0,20.3,0.789,8.4,23.1,31.5,18.8,8.4,3.0,12.0,22.2,86.0
15,AS Monaco Basket,31,6293,30.4,62.7,0.484,7.6,22.0,0.346,22.8,40.7,0.559,18.5,25.5,0.723,10.6,21.9,32.5,18.0,7.2,2.5,12.9,20.2,86.9
16,Metropolitans 92,32,6495,32.3,64.3,0.503,7.6,20.2,0.378,24.7,44.1,0.561,15.3,20.6,0.745,8.8,22.4,31.3,19.5,8.8,2.0,13.1,18.9,87.7
17,Limoges CSP,31,6247,28.0,59.3,0.473,9.3,24.9,0.374,18.7,34.4,0.544,13.9,18.6,0.747,8.4,21.4,29.8,18.1,6.6,2.2,13.4,22.3,79.3
18,JDA Dijon,32,6471,29.9,63.5,0.470,9.1,25.4,0.357,20.8,38.2,0.545,12.4,17.1,0.728,9.8,19.9,29.8,18.3,8.2,2.9,11.7,23.6,81.5
19,SIG Strasbourg,31,6267,30.8,66.7,0.463,9.1,24.4,0.373,21.7,42.3,0.514,14.7,18.8,0.781,11.6,20.8,32.4,20.1,7.8,1.9,12.6,22.5,85.5
20,Élan Béarnais Pau-Lacq-Orthez,31,6268,26.6,57.8,0.460,10.6,28.7,0.369,16.0,29.1,0.550,17.0,22.0,0.771,7.3,22.3,29.6,18.9,6.3,2.6,14.4,19.1,81.7
21,Cholet Basket,32,6406,29.8,62.0,0.480,8.9,24.5,0.365,20.8,37.6,0.555,13.2,17.0,0.776,8.4,23.4,31.8,18.8,7.3,2.7,14.3,21.2,81.7
22,Nanterre 92,32,6551,30.4,61.7,0.493,8.2,22.3,0.366,22.3,39.4,0.566,16.4,21.4,0.765,8.3,23.5,31.8,17.6,7.7,3.2,12.6,20.5,85.4
23,Le Mans Sarthe Basket,32,6418,30.3,63.2,0.479,6.5,19.8,0.329,23.8,43.3,0.548,15.4,20.5,0.750,9.6,23.5,33.1,20.6,6.7,3.2,13.4,21.2,82.5
24,JL Bourg,32,6506,28.8,61.8,0.467,9.3,25.4,0.366,19.5,36.3,0.537,11.1,15.0,0.738,7.0,22.4,29.4,18.8,7.0,2.2,11.4,19.6,78.1
25,BCM Gravelines-Dunkerque,32,6395,29.5,61.7,0.479,8.7,24.4,0.358,20.8,37.3,0.558,14.1,18.9,0.744,7.7,23.8,31.5,18.1,5.8,2.5,12.6,19.3,81.9
26,Chorale Roanne Basket,32,6444,30.7,64.6,0.475,9.0,26.3,0.341,21.7,38.3,0.566,15.2,20.5,0.738,9.3,21.9,31.3,18.7,6.7,2.9,13.1,19.8,85.4
27,ESSM Le Portel,32,6460,27.3,59.6,0.458,8.2,22.3,0.366,19.1,37.3,0.512,14.4,19.3,0.747,8.8,21.8,30.5,18.1,6.3,2.0,15.3,20.5,77.2
28,Paris Basketball,32,6499,28.8,61.2,0.471,9.1,25.7,0.354,19.7,35.5,0.555,15.3,21.8,0.701,8.2,21.5,29.6,17.8,7.0,3.3,14.0,17.8,81.9
29,Orléans Loiret Basket,32,6493,27.1,60.3,0.449,8.7,24.4,0.356,18.4,35.9,0.512,14.7,21.7,0.676,8.0,21.9,29.9,15.6,5.9,1.8,14.7,19.5,77.5
30,Fos Provence,32,6395,26.6,58.3,0.456,6.0,19.3,0.309,20.6,39.0,0.529,15.6,21.1,0.742,7.6,22.4,30.0,17.3,7.4,2.5,14.7,19.3,74.8
31,Champagne Basket,32,6400,29.0,59.2,0.491,8.3,22.8,0.364,20.8,36.4,0.570,14.6,21.1,0.690,8.9,22.3,31.2,18.3,6.0,2.0,15.3,19.6,80.9
32,FC Barcelona,32,6450,29.4,61.4,0.478,9.3,24.8,0.377,20.0,36.7,0.546,14.9,19.5,0.764,9.0,23.0,32.0,16.2,6.8,2.4,12.0,21.2,83.0
33,Real Madrid,32,6425,29.2,63.3,0.461,9.9,27.8,0.355,19.3,35.5,0.544,14.8,19.1,0.779,9.6,24.7,34.3,16.1,6.2,4.3,11.4,18.5,83.1
34,Club Joventut Badalona,32,6425,29.5,62.7,0.470,8.7,23.5,0.369,20.8,39.2,0.531,13.9,17.6,0.791,9.8,22.1,32.0,16.5,6.5,3.0,11.7,20.3,81.5
35,Valencia Basket,32,6400,28.9,62.2,0.466,9.1,25.9,0.351,19.8,36.3,0.547,16.0,20.2,0.791,10.1,21.6,31.7,17.1,6.8,2.0,13.3,19.6,82.9
36,Lenovo Tenerife,32,6472,29.0,60.0,0.483,10.4,27.6,0.376,18.6,32.4,0.574,14.9,18.5,0.806,7.4,20.9,28.3,17.5,6.5,1.9,10.7,19.0,83.3
37,Bitci Baskonia,32,6400,29.2,62.9,0.464,10.2,27.7,0.367,19.0,35.3,0.539,12.9,16.2,0.795,9.1,23.3,32.4,17.0,6.5,3.3,12.6,17.8,81.4
38,Baxi Manresa,32,6475,30.9,69.0,0.448,9.0,26.9,0.336,21.9,42.1,0.520,17.1,22.6,0.759,11.3,23.1,34.4,17.6,8.1,3.2,13.3,21.2,88.0
39,Herbalife Gran Canaria,32,6411,29.0,63.1,0.460,7.7,22.5,0.344,21.3,40.6,0.525,14.8,20.0,0.741,9.4,21.0,30.4,15.0,7.9,3.1,12.8,21.0,80.6
40,UCAM Murcia,32,6400,31.3,68.4,0.457,9.2,26.9,0.343,22.0,41.5,0.530,14.5,20.3,0.716,11.3,22.6,33.8,16.3,7.9,2.3,12.9,23.3,86.2
41,Surne Bilbao Basket,32,6450,30.2,63.8,0.473,8.8,23.8,0.370,21.4,40.0,0.534,12.4,18.5,0.669,9.6,23.1,32.7,14.8,6.6,2.7,13.0,20.6,81.5
42,Río Breogán,32,6425,30.4,64.6,0.471,8.4,24.0,0.352,22.0,40.6,0.542,14.3,19.1,0.748,9.8,23.6,33.4,16.1,7.0,2.0,12.5,20.2,83.5
43,Unicaja,32,6410,29.6,64.2,0.461,9.0,25.6,0.350,20.6,38.5,0.535,11.9,15.1,0.788,8.7,22.0,30.7,14.9,6.8,3.2,12.3,20.9,80.0
44,Casademont Zaragoza,32,6400,27.3,61.2,0.446,7.1,22.2,0.320,20.2,39.1,0.517,13.8,19.0,0.722,8.9,20.2,29.1,14.1,6.7,2.6,13.5,19.2,75.4
45,Monbus Obradoiro,32,6443,28.5,62.9,0.453,9.4,27.5,0.343,19.0,35.4,0.538,15.6,21.1,0.739,9.3,21.9,31.3,15.7,5.4,2.4,11.8,20.4,82.0
46,Coosur Real Betis,32,6475,27.8,62.2,0.447,8.9,25.2,0.352,18.9,37.0,0.512,13.1,17.1,0.766,9.2,21.3,30.5,15.2,7.1,2.7,13.7,20.3,77.6
47,MoraBanc Andorra,32,6400,29.0,64.2,0.452,8.7,25.8,0.335,20.4,38.4,0.531,11.0,15.4,0.713,10.0,22.1,32.0,14.6,6.4,2.7,12.7,21.2,77.7
48,Hereda San Pablo Burgos,32,6509,28.2,64.4,0.438,9.1,25.2,0.362,19.1,39.2,0.486,12.6,17.5,0.718,11.1,23.3,34.4,15.6,6.3,2.7,13.0,20.8,78.1
49,Urbas Fuenlabrada,32,6452,30.4,66.2,0.459,9.4,25.6,0.369,20.9,40.6,0.515,12.2,15.9,0.768,10.3,21.3,31.6,18.0,6.4,2.9,13.1,20.4,82.4
